source	target	edge_type	weight	pmid	evidence_type
MAPK1	NFKBIA	STRING_PPI	949	NA	NA
NFKBIA	RELB	STRING_PPI	997	NA	NA
MAPK1	NFKB1	STRING_PPI	945	NA	NA
NFKBIA	NFKB1	STRING_PPI	999	NA	NA
RELB	NFKB1	STRING_PPI	999	NA	NA
MLH1	MSH2	STRING_PPI	999	NA	NA
MLH1	MSH6	STRING_PPI	999	NA	NA
MSH2	MSH6	STRING_PPI	999	NA	NA
MAPK1	RAF1	STRING_PPI	989	NA	NA
NFKB1	RAF1	STRING_PPI	836	NA	NA
MAPK1	KRAS	STRING_PPI	989	NA	NA
NFKB1	KRAS	STRING_PPI	761	NA	NA
MLH1	KRAS	STRING_PPI	772	NA	NA
RAF1	KRAS	STRING_PPI	999	NA	NA
NFKBIA	IRAK2	STRING_PPI	850	NA	NA
NFKB1	IRAK2	STRING_PPI	787	NA	NA
TICAM1	IRAK2	STRING_PPI	811	NA	NA
MLH1	CDK4	STRING_PPI	823	NA	NA
KRAS	CDK4	STRING_PPI	842	NA	NA
CDK4	MDM2	STRING_PPI	816	NA	NA
APC	AXIN1	STRING_PPI	999	NA	NA
MAPK1	MAPK3	STRING_PPI	988	NA	NA
NFKBIA	MAPK3	STRING_PPI	972	NA	NA
NFKB1	MAPK3	STRING_PPI	943	NA	NA
RAF1	MAPK3	STRING_PPI	986	NA	NA
KRAS	MAPK3	STRING_PPI	986	NA	NA
CDK4	DNMT3A	STRING_PPI	766	NA	NA
ITGB4	ERBB2	STRING_PPI	873	NA	NA
KRAS	ERBB2	STRING_PPI	992	NA	NA
MAPK1	MAP2K1	STRING_PPI	998	NA	NA
NFKB1	MAP2K1	STRING_PPI	770	NA	NA
RAF1	MAP2K1	STRING_PPI	998	NA	NA
KRAS	MAP2K1	STRING_PPI	988	NA	NA
MAPK3	MAP2K1	STRING_PPI	998	NA	NA
ERBB2	MAP2K1	STRING_PPI	947	NA	NA
MAPK1	CEBPB	STRING_PPI	960	NA	NA
NFKB1	CEBPB	STRING_PPI	896	NA	NA
MAPK3	CEBPB	STRING_PPI	972	NA	NA
NFKBIA	CXCL8	STRING_PPI	843	NA	NA
NFKB1	CXCL8	STRING_PPI	958	NA	NA
ERBB2	CXCL8	STRING_PPI	716	NA	NA
CXCR1	CXCL8	STRING_PPI	999	NA	NA
CEBPB	CXCL8	STRING_PPI	971	NA	NA
CXCR1	CXCR2	STRING_PPI	944	NA	NA
CXCL8	CXCR2	STRING_PPI	999	NA	NA
IL17C	IL17RA	STRING_PPI	979	NA	NA
DNMT3A	DNMT3B	STRING_PPI	982	NA	NA
MLH1	DNMT1	STRING_PPI	707	NA	NA
DNMT3A	DNMT1	STRING_PPI	998	NA	NA
DNMT3B	DNMT1	STRING_PPI	998	NA	NA
NFKBIA	TLR4	STRING_PPI	840	NA	NA
NFKB1	TLR4	STRING_PPI	920	NA	NA
TICAM1	TLR4	STRING_PPI	999	NA	NA
IRAK2	TLR4	STRING_PPI	978	NA	NA
MAPK3	TLR4	STRING_PPI	826	NA	NA
CXCL8	TLR4	STRING_PPI	891	NA	NA
MAPK1	RELA	STRING_PPI	944	NA	NA
NFKBIA	RELA	STRING_PPI	999	NA	NA
RELB	RELA	STRING_PPI	979	NA	NA
NFKB1	RELA	STRING_PPI	999	NA	NA
RAF1	RELA	STRING_PPI	844	NA	NA
KRAS	RELA	STRING_PPI	865	NA	NA
IRAK2	RELA	STRING_PPI	757	NA	NA
MAPK3	RELA	STRING_PPI	946	NA	NA
CEBPB	RELA	STRING_PPI	973	NA	NA
CXCL8	RELA	STRING_PPI	991	NA	NA
DNMT1	RELA	STRING_PPI	795	NA	NA
TLR4	RELA	STRING_PPI	926	NA	NA
NFKB1	SAA1	STRING_PPI	912	NA	NA
RELA	SAA1	STRING_PPI	914	NA	NA
ITGB4	ITGA6	STRING_PPI	999	NA	NA
NFKBIA	MYD88	STRING_PPI	965	NA	NA
NFKB1	MYD88	STRING_PPI	973	NA	NA
TICAM1	MYD88	STRING_PPI	909	NA	NA
IRAK2	MYD88	STRING_PPI	999	NA	NA
CXCL8	MYD88	STRING_PPI	762	NA	NA
TLR4	MYD88	STRING_PPI	995	NA	NA
RELA	MYD88	STRING_PPI	971	NA	NA
MLH1	CDKN2A	STRING_PPI	810	NA	NA
KRAS	CDKN2A	STRING_PPI	965	NA	NA
CDK4	CDKN2A	STRING_PPI	999	NA	NA
MDM2	CDKN2A	STRING_PPI	999	NA	NA
ERBB2	CDKN2A	STRING_PPI	726	NA	NA
RELA	CDKN2A	STRING_PPI	752	NA	NA
NFKBIA	IKBKB	STRING_PPI	999	NA	NA
RELB	IKBKB	STRING_PPI	826	NA	NA
NFKB1	IKBKB	STRING_PPI	999	NA	NA
TICAM1	IKBKB	STRING_PPI	776	NA	NA
IRAK2	IKBKB	STRING_PPI	922	NA	NA
TLR4	IKBKB	STRING_PPI	971	NA	NA
RELA	IKBKB	STRING_PPI	998	NA	NA
MYD88	IKBKB	STRING_PPI	982	NA	NA
SirTM	H2BC4	literature_curated	NA	41850426	ADP-ribosylation
FBA	ITGA6	literature_curated	NA	39059397	surface_protein_binding
FBA	ITGB4	literature_curated	NA	39059397	surface_protein_binding
