STRING_id	node_type	protein
9606.ENSP00000269571	seed	ERBB2
9606.ENSP00000256078	seed	KRAS
9606.ENSP00000302486	seed	MAP2K1
9606.ENSP00000263025	seed	MAPK3
9606.ENSP00000215832	seed	MAPK1
9606.ENSP00000384273	seed	RELA
9606.ENSP00000226574	seed	NFKB1
9606.ENSP00000430684	seed	IKBKB
9606.ENSP00000305422	seed	CEBPB
9606.ENSP00000384906	seed	SAA1
9606.ENSP00000244241	seed	IL17C
9606.ENSP00000306512	seed	CXCL8
9606.ENSP00000295683	seed	CXCR1
9606.ENSP00000319635	seed	CXCR2
9606.ENSP00000352516	seed	DNMT1
9606.ENSP00000264709	seed	DNMT3A
9606.ENSP00000328547	seed	DNMT3B
9606.ENSP00000257430	seed	APC
9606.ENSP00000231790	seed	MLH1
9606.ENSP00000418915	seed	CDKN2A
9606.ENSP00000321744	seed	H2BC4
9606.ENSP00000216797	shell	NA
9606.ENSP00000221452	shell	NA
9606.ENSP00000233146	shell	NA
9606.ENSP00000234420	shell	NA
9606.ENSP00000251849	shell	NA
9606.ENSP00000257904	shell	NA
9606.ENSP00000258149	shell	NA
9606.ENSP00000262320	shell	NA
9606.ENSP00000262367	shell	NA
9606.ENSP00000262948	shell	NA
