"rank","feature","feat_type","mean_abs_SHAP","direction","in_maaslin2","maaslin2_q","validated"
1,"species:Peptostreptococcus stomatis","species",0.01725,"↓ eoCRC","YES",0.2037,"DOUBLY VALIDATED"
2,"species:Gemella morbillorum","species",0.01622,"↑ eoCRC","YES",0.084,"DOUBLY VALIDATED"
3,"species:Parvimonas micra","species",0.01587,"↓ eoCRC","YES",0.0496,"DOUBLY VALIDATED"
4,"species:Intestinimonas butyriciproducens","species",0.01394,"↓ eoCRC","no",NA,"SHAP only"
5,"species:Dialister pneumosintes","species",0.01221,"↑ eoCRC","YES",0.1493,"DOUBLY VALIDATED"
6,"species:Faecalibacterium prausnitzii","species",0.01151,"↑ eoCRC","no",NA,"SHAP only"
7,"species:Lactobacillus rogosae","species",0.01083,"↑ eoCRC","no",NA,"SHAP only"
8,"species:Alistipes finegoldii","species",0.01039,"↓ eoCRC","YES",0.2037,"DOUBLY VALIDATED"
9,"species:Bacteroides faecis","species",0.00881,"↓ eoCRC","no",NA,"SHAP only"
10,"species:Intestinibacter bartlettii","species",0.00861,"↑ eoCRC","no",NA,"SHAP only"
11,"species:Anaerotruncus colihominis","species",0.00763,"↓ eoCRC","YES",0.2378,"DOUBLY VALIDATED"
12,"species:Proteobacteria bacterium CAG:139","species",0.00639,"↓ eoCRC","no",NA,"SHAP only"
13,"species:Parabacteroides goldsteinii","species",0.00633,"↓ eoCRC","no",NA,"SHAP only"
14,"species:Bacteroides cellulosilyticus","species",0.00631,"↓ eoCRC","no",NA,"SHAP only"
15,"species:Lachnospira eligens","species",0.00621,"↑ eoCRC","no",NA,"SHAP only"
16,"species:Bacteroides caccae","species",0.00614,"↓ eoCRC","YES",0.1493,"DOUBLY VALIDATED"
17,"species:Eubacterium sp. CAG:274","species",0.00585,"↑ eoCRC","no",NA,"SHAP only"
18,"species:Bacteroides ovatus","species",0.00566,"↑ eoCRC","no",NA,"SHAP only"
19,"species:Turicimonas muris","species",0.00563,"↓ eoCRC","no",NA,"SHAP only"
20,"species:[Clostridium] symbiosum","species",0.00535,"↑ eoCRC","YES",0.1799,"DOUBLY VALIDATED"
